方法,分类,注释,参数,解释,例子
get_czce_rank_table,期货持仓成交排名数据,郑州商品交易所前 20 会员持仓排名数据明细,date,"郑州商品交易所前 20 会员持仓排名数据明细\n注：该交易所既公布了品种排名, 也公布了标的排名\n:param date: 日期 format：YYYY-MM-DD 或 YYYYMMDD 或 datetime.date对象 为空时为当天\n:return: pd.DataFrame\nrank                        排名                        int\nvol_party_name              成交量排序的当前名次会员        string(中文)\nvol                         该会员成交量                  int\nvol_chg                     该会员成交量变化量             int\nlong_party_name             持多单排序的当前名次会员        string(中文)\nlong_open_interest               该会员持多单                  int\nlong_open_interest_chg           该会员持多单变化量             int\nshort_party_name            持空单排序的当前名次会员        string(中文)\nshort_open_interest              该会员持空单                  int\nshort_open_interest_chg          该会员持空单变化量             int\nsymbol                      标的合约                     string\nvar                         品种                        string\ndate                        日期                        string YYYYMMDD",
get_dce_daily,交易所日线行情数据,大连商品交易所日交易数据,date,"大连商品交易所日交易数据\nhttp://www.dce.com.cn/dalianshangpin/xqsj/tjsj26/rtj/rxq/index.html\n:param date: 交易日, e.g., 20200416\n:type date: str\n:return: 具体交易日的个品种行情数据\n:rtype: pandas.DataFrame",
get_dce_rank_table,期货持仓成交排名数据,"大连商品交易所前 20 会员持仓排名数据明细, 由于交易所网站问题, 需要 20200720 之后才有数据",date;vars_list,"大连商品交易所前 20 会员持仓排名数据明细, 由于交易所网站问题, 需要 20200720 之后才有数据\n注: 该交易所只公布标的合约排名\n:param date: 日期 format：YYYY-MM-DD 或 YYYYMMDD 或 datetime.date 对象, 为空时为当天\n:param vars_list: 合约品种如 RB、AL 等列表为空时为所有商品, 数据从 20060104 开始，每交易日 16:30 左右更新数据\n:return: pandas.DataFrame\nrank                        排名                        int\nvol_party_name              成交量排序的当前名次会员      string(中文)\nvol                         该会员成交量                 int\nvol_chg                     该会员成交量变化量            int\nlong_party_name             持多单排序的当前名次会员      string(中文)\nlong_open_interest          该会员持多单                 int\nlong_open_interest_chg      该会员持多单变化量            int\nshort_party_name            持空单排序的当前名次会员       string(中文)\nshort_open_interest         该会员持空单                  int\nshort_open_interest_chg     该会员持空单变化量             int\nsymbol                      标的合约                     string\nvar                         品种                        string\ndate                        日期                        string YYYYMMDD",
get_futures_daily,交易所日线行情数据,交易所日交易数据,start_date;end_date;market,"交易所日交易数据\n:param start_date: 开始日期 format：YYYY-MM-DD 或 YYYYMMDD 或 datetime.date对象 为空时为当天\n:type start_date: str\n:param end_date: 结束数据 format：YYYY-MM-DD 或 YYYYMMDD 或 datetime.date对象 为空时为当天\n:type end_date: str\n:param market: 'CFFEX' 中金所, 'CZCE' 郑商所,  'SHFE' 上期所, 'DCE' 大商所 之一, 'INE' 上海国际能源交易中心, ""GFEX"" 广州期货交易所。默认为中金所\n:type market: str\n:return: 交易所日交易数据\n:rtype: pandas.DataFrame",
get_gfex_daily,交易所日线行情数据,广州期货交易所-日频率-量价数据,date,广州期货交易所-日频率-量价数据\n广州期货交易所: 工业硅(上市时间: 20221222)\nhttp://www.gfex.com.cn/gfex/rihq/hqsj_tjsj.shtml\n:param date: 日期 format：YYYY-MM-DD 或 YYYYMMDD 或 datetime.date对象，默认为当前交易日\n:type date: str or datetime.date\n:return: 广州期货交易所-日频率-量价数据\n:rtype: pandas.DataFrame,
get_ine_daily,交易所日线行情数据,上海国际能源交易中心-日频率-量价数据,date,上海国际能源交易中心-日频率-量价数据\n上海国际能源交易中心: 原油期货(上市时间: 20180326); 20号胶期货(上市时间: 20190812)\ntrade_price: https://www.ine.cn/statements/daily/?paramid=kx\ntrade_note: https://www.ine.cn/data/datanote.dat\n:param date: 日期 format：YYYY-MM-DD 或 YYYYMMDD 或 datetime.date对象，默认为当前交易日\n:type date: str or datetime.date\n:return: 上海国际能源交易中心-日频率-量价数据\n:rtype: pandas.DataFrame or None,
get_qhkc_fund_bs,奇货可查-资金模块,奇货可查-资金-净持仓分布,date;url,"奇货可查-资金-净持仓分布\n可获取数据的时间段为:""2016-10-10:2019-09-30""\n:param url: 网址\n:param date: 中文名称\n:return: pd.DataFrame\nsymbol_df\n   name       value        ratio      date\n   IC  1552535406     0.195622  20190924\n   IF   536644080    0.0676182  20190924\n   橡胶   536439921    0.0675924  20190924\n   沪铜   460851099    0.0580681  20190924\n   豆粕   401005794    0.0505275  20190924\n  螺纹钢   329159263    0.0414747  20190924\n   焦炭   325646968    0.0410321  20190924\n  燃料油   313246789    0.0394697  20190924\n   IH   245556750    0.0309406  20190924\n   棉花   214538541    0.0270323  20190924\n  PTA   206340552    0.0259993  20190924\n   白糖   139901255    0.0176278  20190924\n   豆油   133664010    0.0168419  20190924\n   沪铝   109789864    0.0138337  20190924\n   沪锌   107440906    0.0135378  20190924\n   纸浆    95517374    0.0120354  20190924\n   苹果    81058733    0.0102136  20190924\n   塑料    63665245   0.00802194  20190924\n   菜油    61544593   0.00775474  20190924\n  铁矿石    60751108   0.00765475  20190924\n   焦煤    58327920   0.00734943  20190924\n   甲醇    52148752   0.00657084  20190924\n   沥青    49207374   0.00620022  20190924\n   菜粕    48266258   0.00608164  20190924\n  棕榈油    31615548   0.00398362  20190924\n   PP    29374826   0.00370128  20190924\n   豆一    22368376   0.00281846  20190924\n   玉米    13861567   0.00174658  20190924\n   沪锡     7485903  0.000943238  20190924\n   淀粉     4811234  0.000606225  20190924\n   棉纱     3627240  0.000457039  20190924\n   尿素     2290674  0.000288629  20190924\n   鸡蛋     2035406  0.000256465  20190924\n   粳米     1999282  0.000251913  20190924\n  油菜籽      533482  6.72197e-05  20190924\n  晚籼稻           0            0  20190924\n   强麦           0            0  20190924\n   沪铅       89914  1.13293e-05  20190924\n   豆二      379200  4.77799e-05  20190924\n   硅铁     5025872  0.000633269  20190924\n   红枣     8521668   0.00107375  20190924\n   锰硅     9472832   0.00119359  20190924\n   郑煤     9888272   0.00124594  20190924\n  乙二醇    18324242   0.00230889  20190924\n  PVC    19454830   0.00245135  20190924\n   玻璃    27076226   0.00341166  20190924\n   热卷    28832929     0.003633  20190924\n   沪银   375076371    0.0472603  20190924\n   沪镍   411622624    0.0518652  20190924\n   沪金   719371823    0.0906422  20190924\n\nlong_short_df\n      name       value     ratio      date\n    空  6303252093  0.794222  20190924\n    多  1633136803  0.205778  20190924",
get_qhkc_fund_money_change,奇货可查-资金模块,奇货可查-资金-成交额分布,date;url,"奇货可查-资金-成交额分布\n可获取数据的时间段为:""2016-10-10:2019-09-30""\n:param url: 网址\n:param date: 中文名称\n:return: pd.DataFrame\n    name        value        ratio        date\n   沪镍    2.292e+10     0.145963  2019-09-25\n   沪银  1.22788e+10    0.0781956  2019-09-25\n   沪金  11196166005    0.0713011  2019-09-25\n   IC  1.10958e+10    0.0706619  2019-09-25\n  螺纹钢  1.02918e+10    0.0655416  2019-09-25\n   IF   9134893794    0.0581742  2019-09-25\n  铁矿石   7991427128    0.0508922  2019-09-25\n   原油   7695016910    0.0490045  2019-09-25\n   焦炭   5936589656    0.0378063  2019-09-25\n   甲醇  4.00966e+09    0.0255349  2019-09-25\n   沪铜   3806033147    0.0242381  2019-09-25\n  乙二醇  3.64376e+09    0.0232047  2019-09-25\n   橡胶   3286445958    0.0209292  2019-09-25\n  燃料油   3227355810    0.0205529  2019-09-25\n   豆粕   3124163112    0.0198958  2019-09-25\n   苹果  3.08134e+09    0.0196231  2019-09-25\n   沪锌   3076039116    0.0195893  2019-09-25\n  PTA  2.93901e+09    0.0187167  2019-09-25\n   IH   2578970688    0.0164238  2019-09-25\n   豆油   2371404714    0.0151019  2019-09-25\n   沥青  2.17662e+09    0.0138615  2019-09-25\n   白糖   1814626125    0.0115562  2019-09-25\n  棕榈油   1687834936    0.0107487  2019-09-25\n   菜粕  1.58244e+09    0.0100775  2019-09-25\n   焦煤  1.52553e+09   0.00971509  2019-09-25\n   PP  1.51981e+09    0.0096787  2019-09-25\n   塑料   1468988065   0.00935503  2019-09-25\n   沪铝  1.35968e+09   0.00865893  2019-09-25\n  不锈钢   1213656556   0.00772899  2019-09-25\n   棉花   1186243285   0.00755441  2019-09-25\n   鸡蛋   1175239681   0.00748433  2019-09-25\n   热卷  1.12293e+09   0.00715118  2019-09-25\n   纸浆  9.23876e+08   0.00588356  2019-09-25\n   沪铅    659297524   0.00419864  2019-09-25\n   菜油    587372274   0.00374059  2019-09-25\n   郑煤  5.82494e+08   0.00370953  2019-09-25\n   红枣    499089640   0.00317838  2019-09-25\n   玉米    458548474    0.0029202  2019-09-25\n  PVC    334434410   0.00212979  2019-09-25\n   玻璃    333819628   0.00212588  2019-09-25\n   沪锡  2.02186e+08   0.00128759  2019-09-25\n   豆二    185554169   0.00118167  2019-09-25\n   豆一    184729205   0.00117642  2019-09-25\n   硅铁  1.54719e+08  0.000985305  2019-09-25\n   淀粉    112331976  0.000715369  2019-09-25\n   锰硅  1.10791e+08  0.000705557  2019-09-25\n   尿素     78648750  0.000500862  2019-09-25\n   棉纱  5.17932e+07  0.000329837  2019-09-25\n   NR     34806750  0.000221661  2019-09-25\n   粳米      7375683  4.69709e-05  2019-09-25\n  油菜籽      2680922   1.7073e-05  2019-09-25\n  纤维板      2286460   1.4561e-05  2019-09-25\n  胶合板       831250  5.29369e-06  2019-09-25\n   强麦       472400  3.00841e-06  2019-09-25\n  晚籼稻       159318  1.01459e-06  2019-09-25\n   线材        90608  5.77023e-07  2019-09-25\n   粳稻            0            0  2019-09-25\n   普麦            0            0  2019-09-25\n   稻谷            0            0  2019-09-25",
get_qhkc_fund_position,奇货可查-资金模块,奇货可查-资金-总持仓分布,date;url,"奇货可查-资金-总持仓分布\n可获取数据的时间段为:""2016-10-10:2019-09-30""\n:param url: 网址\n:param date: 中文名称\n:return: pd.DataFrame\nsymbol_df\n   name       value        ratio      date\n   IC  1552535406     0.195622  20190924\n   IF   536644080    0.0676182  20190924\n   橡胶   536439921    0.0675924  20190924\n   沪铜   460851099    0.0580681  20190924\n   豆粕   401005794    0.0505275  20190924\n  螺纹钢   329159263    0.0414747  20190924\n   焦炭   325646968    0.0410321  20190924\n  燃料油   313246789    0.0394697  20190924\n   IH   245556750    0.0309406  20190924\n   棉花   214538541    0.0270323  20190924\n  PTA   206340552    0.0259993  20190924\n   白糖   139901255    0.0176278  20190924\n   豆油   133664010    0.0168419  20190924\n   沪铝   109789864    0.0138337  20190924\n   沪锌   107440906    0.0135378  20190924\n   纸浆    95517374    0.0120354  20190924\n   苹果    81058733    0.0102136  20190924\n   塑料    63665245   0.00802194  20190924\n   菜油    61544593   0.00775474  20190924\n  铁矿石    60751108   0.00765475  20190924\n   焦煤    58327920   0.00734943  20190924\n   甲醇    52148752   0.00657084  20190924\n   沥青    49207374   0.00620022  20190924\n   菜粕    48266258   0.00608164  20190924\n  棕榈油    31615548   0.00398362  20190924\n   PP    29374826   0.00370128  20190924\n   豆一    22368376   0.00281846  20190924\n   玉米    13861567   0.00174658  20190924\n   沪锡     7485903  0.000943238  20190924\n   淀粉     4811234  0.000606225  20190924\n   棉纱     3627240  0.000457039  20190924\n   尿素     2290674  0.000288629  20190924\n   鸡蛋     2035406  0.000256465  20190924\n   粳米     1999282  0.000251913  20190924\n  油菜籽      533482  6.72197e-05  20190924\n  晚籼稻           0            0  20190924\n   强麦           0            0  20190924\n   沪铅       89914  1.13293e-05  20190924\n   豆二      379200  4.77799e-05  20190924\n   硅铁     5025872  0.000633269  20190924\n   红枣     8521668   0.00107375  20190924\n   锰硅     9472832   0.00119359  20190924\n   郑煤     9888272   0.00124594  20190924\n  乙二醇    18324242   0.00230889  20190924\n  PVC    19454830   0.00245135  20190924\n   玻璃    27076226   0.00341166  20190924\n   热卷    28832929     0.003633  20190924\n   沪银   375076371    0.0472603  20190924\n   沪镍   411622624    0.0518652  20190924\n   沪金   719371823    0.0906422  20190924\n\nlong_short_df\n      name       value     ratio      date\n    空  6303252093  0.794222  20190924\n    多  1633136803  0.205778  20190924",
get_qhkc_index,奇货可查-指数模块,奇货可查-指数-指数详情,name;url,"奇货可查-指数-指数详情\n获得奇货可查的指数数据: '奇货黑链', '奇货商品', '奇货谷物', '奇货贵金属', '奇货饲料', '奇货软商品', '奇货化工', '奇货有色', '奇货股指', '奇货铁合金', '奇货油脂'\n:param url: 网址\n:param name 中文名称\n:return: pd.DataFrame\n    date    price   volume  ...      margin     profit long_short_ratio\n    2013-01-04     1000   260820  ...  1130485758    1816940            52.78\n    2013-01-07  998.244   245112  ...  1132228518    2514410            52.15\n    2013-01-08   1000.8   318866  ...  1160374489    2981010            51.99\n    2013-01-09  998.661   247352  ...  1166611242    3904220            52.44\n    2013-01-10  999.802   161292  ...  1153164771    1448190            52.81\n           ...      ...      ...  ...         ...        ...              ...\n    2019-09-24  845.391   881138  ...  1895149977  128379050             48.5\n    2019-09-25  845.674   715180  ...  1797235248  128788230            48.29\n    2019-09-26  840.154  1347570  ...  1730488227  137104890            48.44\n    2019-09-27  834.831   920160  ...  1605342767  143128540            48.77\n    2019-09-30  831.959  1031558  ...  1521875378  147810580            48.82",
get_qhkc_index_profit_loss,奇货可查-指数模块,奇货可查-指数-盈亏详情,name;url;start_date;end_date,"奇货可查-指数-盈亏详情\n获得奇货可查的指数数据: '奇货黑链', '奇货商品', '奇货谷物', '奇货贵金属', '奇货饲料', '奇货软商品', '奇货化工', '奇货有色', '奇货股指', '奇货铁合金', '奇货油脂'\n:param url: 网址\n:param name None\n:param start_date: """"\n:param end_date: ""20190716"" 指定 end_date 就可以了\n:return: pd.DataFrame\n    indexes       value  trans_date\n    招金期货-沪金  -307489200  2019-09-30\n    平安期货-沪银  -195016650  2019-09-30\n    建信期货-沪银  -160327350  2019-09-30\n    国贸期货-沪银  -159820965  2019-09-30\n    东证期货-沪银  -123508635  2019-09-30\n        ...         ...         ...\n    永安期货-沪银   187411350  2019-09-30\n    中信期货-沪金   242699750  2019-09-30\n    华泰期货-沪银   255766185  2019-09-30\n    永安期货-沪金   293008700  2019-09-30\n    国泰君安-沪金   302774950  2019-09-30",
get_qhkc_index_trend,奇货可查-指数模块,奇货可查-指数-大资金动向,name;url,"奇货可查-指数-大资金动向\n获得奇货可查的指数数据: '奇货黑链', '奇货商品', '奇货谷物', '奇货贵金属', '奇货饲料', '奇货软商品', '奇货化工', '奇货有色', '奇货股指', '奇货铁合金', '奇货油脂'\n:param url: 网址\n:param name None\n:return: pd.DataFrame\n    broker    grade    money     open_order     variety\n    中金期货     B -3.68209e+07  3.68209e+07      沪金\n    浙商期货     D    -25845534     25845534      沪银\n    永安期货     A    -25614000     25614000      沪银\n    招商期货     D    -23517351     23517351      沪银\n    海通期货     A     21440845     21440845      沪金\n     美尔雅     D     21370975     21370975      沪金\n    中原期货     C    -21204612     21204612      沪银\n    国投安信     A -1.52374e+07  1.52374e+07      沪银\n    中信期货     C  1.50941e+07  1.50941e+07      沪银\n    海通期货     A -1.47184e+07  1.47184e+07      沪银\n    方正中期     E -1.31432e+07  1.31432e+07      沪银\n    东证期货     D   -1.283e+07    1.283e+07      沪银\n    一德期货     A  1.24973e+07  1.24973e+07      沪银\n    国投安信     A    -11602860     11602860      沪金\n    国泰君安     B -1.09363e+07  1.09363e+07      沪金\n    华安期货     D -9.99499e+06  9.99499e+06      沪金\n    南华期货     B -9.23675e+06  9.23675e+06      沪银\n    国贸期货     B  8.55245e+06  8.55245e+06      沪银\n    道通期货     C      8527675      8527675      沪金\n    招商期货     D -7.85457e+06  7.85457e+06      沪金\n    东方财富     E -7.58235e+06  7.58235e+06      沪银\n    五矿经易     A  6.95354e+06  6.95354e+06      沪银\n    银河期货     B  6.84522e+06  6.84522e+06      沪银\n    国贸期货     B      6731025      6731025      沪金\n    平安期货     D     -6710418      6710418      沪银\n    上海中期     C      6628800      6628800      沪金\n    中信期货     C     -6345830      6345830      沪金\n    银河期货     B     -6126295      6126295      沪金\n    华泰期货     A -5.96254e+06  5.96254e+06      沪金\n    招金期货     E -5.53029e+06  5.53029e+06      沪银\n    东证期货     D -5.47486e+06  5.47486e+06      沪金\n    光大期货     C     -5334730      5334730      沪金\n    广发期货     D  5.31904e+06  5.31904e+06      沪金\n    国信期货     D -5.05211e+06  5.05211e+06      沪金",
get_rank_sum,期货持仓成交排名数据,采集五个期货交易所前5、前10、前15、前20会员持仓排名数据,date;vars_list,"采集五个期货交易所前5、前10、前15、前20会员持仓排名数据\n注1：由于上期所和中金所只公布每个品种内部的标的排名, 没有公布品种的总排名;\n    所以函数输出的品种排名是由品种中的每个标的加总获得, 并不是真实的品种排名列表\n注2：大商所只公布了品种排名, 未公布标的排名\n:param date: 日期 format: YYYY-MM-DD 或 YYYYMMDD 或 datetime.date对象 为空时为当天\n:type date: date\n:param vars_list: 合约品种如 ['RB', 'AL'] 等列表为空时为所有商品\n:type vars_list: list\n:return: pd.DataFrame\nsymbol                           标的合约                     string\nvar                              商品品种                     string\nvol_top5                         成交量前5会员成交量总和         int\nvol_chg_top5                     成交量前5会员成交量变化总和      int\nlong_open_interest_top5          持多单前5会员持多单总和         int\nlong_open_interest_chg_top5      持多单前5会员持多单变化总和      int\nshort_open_interest_top5         持空单前5会员持空单总和         int\nshort_open_interest_chg_top5     持空单前5会员持空单变化总和      int\nvol_top10                        成交量前10会员成交量总和        int",
get_rank_sum_daily,期货持仓成交排名数据,采集四个期货交易所前 5、前 10、前 15、前 20 会员持仓排名数据,start_day;end_day;vars_list,采集四个期货交易所前 5、前 10、前 15、前 20 会员持仓排名数据\n注1：由于上期所和中金所只公布每个品种内部的标的排名，没有公布品种的总排名;\n    所以函数输出的品种排名是由品种中的每个标的加总获得，并不是真实的品种排名列表\n注2：大商所只公布了品种排名，未公布标的排名\n:param start_day: 开始日期 format：YYYY-MM-DD 或 YYYYMMDD 或 datetime.date对象 为空时为当天\n:type start_day: str\n:param end_day: 结束数据 format：YYYY-MM-DD 或 YYYYMMDD 或 datetime.date对象 为空时为当天\n:type end_day: str\n:param vars_list: 合约品种如 ['RB'、'AL'] 等列表为空时为所有商品\n:type vars_list: list\n:return: pd.DataFrame\nsymbol                           标的合约                     string\nvar                              商品品种                     string\nvol_top5                         成交量前5会员成交量总和         int\nvol_chg_top5                     成交量前5会员成交量变化总和      int\nlong_open_interest_top5          持多单前5会员持多单总和         int\nlong_open_interest_chg_top5      持多单前5会员持多单变化总和      int\nshort_open_interest_top5         持空单前5会员持空单总和         int\nshort_open_interest_chg_top5     持空单前5会员持空单变化总和      int\nvol_top10                        成交量前10会员成交量总和        int,
get_receipt,大宗商品期货仓单数据,大宗商品-注册仓单数据,start_date;end_date;vars_list,大宗商品-注册仓单数据\n:param start_date: 开始日期 format：YYYY-MM-DD 或 YYYYMMDD 或 datetime.date 对象 为空时为当天\n:type start_date: str\n:param end_date: 结束数据 format：YYYY-MM-DD 或 YYYYMMDD 或 datetime.date 对象 为空时为当天\n:type end_date: str\n:param vars_list: 合约品种如 RB、AL 等列表为空时为所有商品\n:type vars_list: str\n:return: 展期收益率数据\n:rtype: pandas.DataFrame,
get_roll_yield,大宗商品期货展期收益率数据,指定交易日指定品种（主力和次主力）或任意两个合约的展期收益率,date;var;symbol1;symbol2;df,指定交易日指定品种（主力和次主力）或任意两个合约的展期收益率\nParameters\n------\ndate: string 某一天日期 format： YYYYMMDD\nvar: string 合约品种如 RB、AL 等\nsymbol1: string 合约 1 如 rb1810\nsymbol2: string 合约 2 如 rb1812\ndf: DataFrame或None 从dailyBar得到合约价格，如果为空就在函数内部抓dailyBar，直接喂给数据可以让计算加快,
get_roll_yield_bar,大宗商品期货展期收益率数据,展期收益率,type_method;var;date;start_day;end_day,"展期收益率\n:param type_method: 'symbol': 获取指定交易日指定品种所有交割月合约的收盘价; 'var': 获取指定交易日所有品种两个主力合约的展期收益率(展期收益率横截面); 'date': 获取指定品种每天的两个主力合约的展期收益率(展期收益率时间序列)\n:param var: 合约品种如 ""RB"", ""AL"" 等\n:param date: 指定交易日 format： YYYYMMDD\n:param start_day: 开始日期 format：YYYYMMDD\n:param end_day: 结束日期 format：YYYYMMDD\n:return: pandas.DataFrame\n展期收益率数据(DataFrame)\nry      展期收益率\nindex   日期或品种",
get_shfe_daily,交易所日线行情数据,上海期货交易所-日频率-量价数据,date,"上海期货交易所-日频率-量价数据\nhttps://tsite.shfe.com.cn/statements/dataview.html?paramid=kx\n:param date: 日期 format：YYYY-MM-DD 或 YYYYMMDD 或 datetime.date对象, 默认为当前交易日\n:type date: str or datetime.date\n:return: 上海期货交易所-日频率-量价数据\n:rtype: pandas.DataFrame or None\n上期所日交易数据(DataFrame):\nsymbol        合约代码\ndate          日期\nopen          开盘价\nhigh          最高价\nlow           最低价\nclose         收盘价\nvolume        成交量\nopen_interest 持仓量\nturnover      成交额\nsettle        结算价\npre_settle     前结算价\nvariety       合约类别\n或 None(给定交易日没有交易数据)",
get_shfe_rank_table,期货持仓成交排名数据,上海期货交易所会员成交及持仓排名表,date;vars_list,上海期货交易所会员成交及持仓排名表\nhttps://www.shfe.com.cn/\nhttps://tsite.shfe.com.cn/statements/dataview.html?paramid=kx\n注：该交易所只公布每个品种内部的标的排名，没有公布品种的总排名\n数据从 20020107 开始，每交易日 16:30 左右更新数据\n:param date: 交易日\n:type date: str\n:param vars_list: 合约品种如 RB、AL等列表; 为空时为所有商品\n:type vars_list: list\n:return: 上海期货交易所会员成交及持仓排名表\n:rtype: dict\nrank                        排名                        int\nvol_party_name              成交量排序的当前名次会员        string(中文)\nvol                         该会员成交量                  int\nvol_chg                     该会员成交量变化量             int\nlong_party_name             持多单排序的当前名次会员        string(中文)\nlong_open_interest          该会员持多单                  int\nlong_open_interest_chg      该会员持多单变化量             int\nshort_party_name            持空单排序的当前名次会员        string(中文)\nshort_open_interest         该会员持空单                  int\nshort_open_interest_chg     该会员持空单变化量             int\nsymbol                      标的合约                     string\nvar                         品种                        string\ndate                        日期                        string YYYYMMDD,
get_token,,,,,
get_us_stock_name,新浪-美股实时行情数据和历史行情数据(前复权),"u.s. stock's english name, chinese name and symbol",,,
hf_sp_500,hf,S&P 500 minute data from 2012-2018,year,S&P 500 minute data from 2012-2018\n:param year: from 2012-2018\n:type year: str\n:return: specific year dataframe\n:rtype: pandas.DataFrame,
hurun_rank,胡润排行榜,胡润排行榜,indicator;year,"胡润排行榜\nhttps://www.hurun.net/CN/HuList/Index?num=3YwKs889SRIm\n:param indicator: choice of {""胡润百富榜"", ""胡润全球富豪榜"", ""胡润印度榜"", ""胡润全球独角兽榜"", ""全球瞪羚企业榜"", ""胡润Under30s创业领袖榜"", ""胡润中国500强民营企业"", ""胡润世界500强"", ""胡润艺术榜""}\n:type indicator: str\n:param year: 指定年份; {""胡润百富榜"": ""2014-至今"", ""胡润全球富豪榜"": ""2019-至今"", ""胡润印度榜"": ""2018-至今"", ""胡润全球独角兽榜"": ""2019-至今"", ""中国瞪羚企业榜"": ""2021-至今"", ""全球瞪羚企业榜"": ""2021-至今"", ""胡润Under30s创业领袖榜"": ""2019-至今"", ""胡润中国500强民营企业"": ""2019-至今"", ""胡润世界500强"": ""2020-至今"", ""胡润艺术榜"": ""2019-至今""}\n:type year: str\n:return: 指定 indicator 和 year 的数据\n:rtype: pandas.DataFrame",
index_ai_cx,财新指数,财新数据-指数报告-AI策略指数,,财新数据-指数报告-AI策略指数\nhttps://yun.ccxe.com.cn/indices/ai\n:return: AI策略指数\n:rtype: pandas.DataFrame,
index_all_cni,国证指数,国证指数-最近交易日的所有指数,,国证指数-最近交易日的所有指数\nhttp://www.cnindex.com.cn/zh_indices/sese/index.html?act_menu=1&index_type=-1\n:return: 国证指数-所有指数\n:rtype: pandas.DataFrame,
index_analysis_daily_sw,申万宏源研究-指数系列,申万宏源研究-指数分析,symbol;start_date;end_date,"申万宏源研究-指数分析\nhttps://www.swsresearch.com/institute_sw/allIndex/analysisIndex\n:param symbol: choice of {""市场表征"", ""一级行业"", ""二级行业"", ""风格指数""}\n:type symbol: str\n:param start_date: 开始日期\n:type start_date: str\n:param end_date: 结束日期\n:type end_date: str\n:return: 指数分析\n:rtype: pandas.DataFrame",
index_analysis_monthly_sw,申万宏源研究-指数系列,申万宏源研究-指数分析-月报告,symbol;date,"申万宏源研究-指数分析-月报告\nhttps://www.swsresearch.com/institute_sw/allIndex/analysisIndex\n:param symbol: choice of {""市场表征"", ""一级行业"", ""二级行业"", ""风格指数""}\n:type symbol: str\n:param date: 查询日期; 通过调用 ak.index_analysis_week_month_sw() 接口获取\n:type date: str\n:return: 指数分析\n:rtype: pandas.DataFrame",
index_analysis_week_month_sw,申万宏源研究-指数系列,申万宏源研究-周/月报表-日期序列,symbol,"申万宏源研究-周/月报表-日期序列\nhttps://www.swsresearch.com/institute_sw/allIndex/analysisIndex\n:param symbol: choice of {""week"", ""month""}\n:type symbol: str\n:return: 日期序列\n:rtype: pandas.DataFrame",
index_analysis_weekly_sw,申万宏源研究-指数系列,申万宏源研究-指数分析-周报告,symbol;date,"申万宏源研究-指数分析-周报告\nhttps://www.swsresearch.com/institute_sw/allIndex/analysisIndex\n:param symbol: choice of {""市场表征"", ""一级行业"", ""二级行业"", ""风格指数""}\n:type symbol: str\n:param date: 查询日期; 通过调用 ak.index_analysis_week_month_sw(date=""20221104"") 接口获取\n:type date: str\n:return: 指数分析\n:rtype: pandas.DataFrame",
index_awpr_cx,财新指数,财新数据-指数报告-新经济入职工资溢价水平,,财新数据-指数报告-新经济入职工资溢价水平\nhttps://yun.ccxe.com.cn/indices/nei\n:return: 新经济入职工资溢价水平\n:rtype: pandas.DataFrame,
index_bei_cx,财新指数,财新数据-指数报告-基石经济指数,,财新数据-指数报告-基石经济指数\nhttps://yun.ccxe.com.cn/indices/bei\n:return: 基石经济指数\n:rtype: pandas.DataFrame,
index_bi_cx,财新指数,财新数据-指数报告-基础指数,,财新数据-指数报告-基础指数\nhttps://yun.ccxe.com.cn/indices/dei\n:return: 基础指数\n:rtype: pandas.DataFrame,
index_bloomberg_billionaires,彭博亿万富豪指数,Bloomberg Billionaires Index,,Bloomberg Billionaires Index\nhttps://www.bloomberg.com/billionaires/\n:return: 彭博亿万富豪指数\n:rtype: pandas.DataFrame,
index_bloomberg_billionaires_hist,彭博亿万富豪指数,Bloomberg Billionaires Index,year,"Bloomberg Billionaires Index\nhttps://stats.areppim.com/stats/links_billionairexlists.htm\n:param year: choice of {""2021"", ""2019"", ""2018"", ...}\n:type year: str\n:return: 彭博亿万富豪指数历史数据\n:rtype: pandas.DataFrame",
index_cci_cx,财新指数,财新数据-指数报告-大宗商品指数,,财新数据-指数报告-大宗商品指数\nhttps://yun.ccxe.com.cn/indices/nei\n:return: 大宗商品指数\n:rtype: pandas.DataFrame,
index_ci_cx,财新指数,财新数据-指数报告-资本投入指数,,财新数据-指数报告-资本投入指数\nhttps://yun.ccxe.com.cn/indices/nei\n:return: 资本投入指数\n:rtype: pandas.DataFrame,
index_code_id_map_em,指数行情数据,东方财富-股票和市场代码,,,
index_component_sw,申万宏源研究-指数系列,申万宏源研究-指数发布-指数详情-成分股,symbol,申万宏源研究-指数发布-指数详情-成分股\nhttps://www.swsresearch.com/institute_sw/allIndex/releasedIndex/releasedetail?code=801001&name=%E7%94%B3%E4%B8%8750\n:param symbol: 指数代码\n:type symbol: str\n:return: 成分股\n:rtype: pandas.DataFrame,
index_dei_cx,财新指数,财新数据-指数报告-数字经济指数,,财新数据-指数报告-数字经济指数\nhttps://yun.ccxe.com.cn/indices/dei\n:return: 数字经济指数\n:rtype: pandas.DataFrame,
index_detail_cni,国证指数,国证指数-样本详情-指定日期的样本成份,symbol;date,国证指数-样本详情-指定日期的样本成份\nhttp://www.cnindex.com.cn/module/index-detail.html?act_menu=1&indexCode=399001\n:param symbol: 指数代码\n:type symbol: str\n:param date: 指定月份\n:type date: str\n:return: 指定日期的样本成份\n:rtype: pandas.DataFrame,
